arabic,english
جمال الدين,Jamal al-Din
جمال الدين,Jamaluddin
جميل,Jameel
جميلة,Jameela
جميل,Jamil
جميلة,Jamila
جميلة,Jamilah
جميلة,Jamillah
جنان,Janan
جواد,Jaouad
جاسم,Jasim
جاسم,Jassim
جواد,Jawad
جواهر,Jawahir
جودت,Jawdat
جاذبيّة,Jazbiya
جاذبيّة,Jazibiyya
جهاد,Jehad
جبريل,Jibril
جهاد,Jihad
جيلاني,Jilani
جنان,Jinan
جودة,Juda
جمعة,Juma
جمانة,Jumana
جمانة,Jumanah
جنيد,Junaid
جنيد,Junayd
قادر,Kader 1
قيس,Kais
كمال,Kamal 1
كمال الدين,Kamal ad-Din
كمال الدين,Kamal ud-Din
كامل,Kamil 1
كرم,Karam
كريم,Kareem
كريم,Karim
كريمة,Karima
كوثر,Kawthar
كاظم,Kazem
كاظم,Kazim
خديجة,Khadiga
خديجة,Khadija
خديجة,Khadijah
خير الدين,Khairuddin
خالد,Khaled
خليل,Khaleel
خالد,Khalid
خالدة,Khalida
خليفة,Khalifa
خليل,Khalil
خليلة,Khalila
خليلة,Khalilah
خليق,Khaliq
خميس,Khamis
خير,Khayr
خيرة,Khayra
خير الدين,Khayr ad-Din
خيرات,Khayrat
خيريّ,Khayri
خيريّة,Khayriyya
خيّام,Khayyam
خيرة,Kheira
خير الدين,Kheireddine
خلد,Kholoud
خلد,Khulud
كبرى,Kubra
كلثوم,Kulthum
ليلى,Laïla
ليلى,Laila 1
لامعة,Lamia 1
لميس,Lamis
لمياء,Lamya
لطيفة,Lateefah
لطيف,Latif
لطيفة,Latifa
لطيفة,Latifah
لواحظ,Lawahiz
ليان,Layan
ليلى,Layla
ليلى,Leila
ليلى,Leyla
لينا,Lina 1
لبنى,Lubna
لجين,Lujayn
لؤلؤ,Lulu 2
لطفيّ,Lutfi
مالك,Maalik
مجدي,Magdi 2
مجدي,Magdy
مها,Maha
محبوب,Mahbub
محبوبة,Mahbuba
مهدي,Mahdi
محفوظ,Mahfuz
ماهر,Mahir
محمود,Mahmood
محمود,Mahmoud
محمود,Mahmud
,Mahomet
,Mahometus
مي,Mai 4
ميمونة,Maimunah
مجدي,Majdi
ماجد,Majed
مجيد,Majeed
مجيد,Majid
ماجدة,Majida
مكرم,Makram
ملك,Malak
ملك,Malik 1
ملكة,Malika
مأمون,Mamoun
مأمون,Mamun
منال,Manal
منصور,Mansoor
منصور,Mansour
منصور,Mansur
مقصود,Maqsood
مقصود,Maqsud
مرام,Maram
مريم,Mariam
معروف,Maruf
مروة,Marwa
مريم,Maryam
مسعود,Masood
مسعود,Masoud
مسعود,Mas'ud
مسعود,Masud
مسعودة,Masuda
معصومة,Masuma
ميمونة,Maymuna
ميمونة,Maymunah
ميثم,Maytham
مازن,Mazin
مدحت,Medhat
مهدي,Mehdi
منّة,Menna
منّة الله,Mennatullah
مريم,Meriem
مسعود,Messaoud
مسعودة,Messaouda
مدحة,Midha
مدحت,Midhat
محمّد,Mihammad
ميخائيل,Mikha'il
معراج,Miraj
ميرزا,Mirza
محمّد,Mohamad
محمّد,Mohamed
محمّد,Mohammad
محمّد,Mohammed
محسن,Mohsin
مختار,Mokhtar
منى,Mona 3
مصطفى,Mostafa
منى,Mouna
مراد,Mourad
موسى,Mousa
موسى,Moussa
مصطفى,Moustafa
معمّر,Muammar
مبارك,Mubarak
مبين,Mubin
مبينة,Mubina
مفضّل,Mufaddal
محمّد,Muhammad
محمّد عليّ,Muhammad Ali
محمّد,Muhammed
محسن,Muhsin
محسنة,Muhsina
مختار,Mukhtar
مؤمن,Mumin
مؤمنة,Mumina
ممتاز,Mumtaz
منى,Muna
منير,Muneer
منير,Munir
منيرة,Munira
منية,Munya
مراد,Murad
مرتضى,Murtada
مرتضى,Murtaza
موسى,Musa
مسعد,Mus'ad
مسعد,Musad
مسلم,Muslim
مسلمة,Muslima
مصطفى,Mustafa
مصطفى,Mustapha
معتمد,Mu'tamid
معتصم,Mu'tasim
معتصم,Mutasim
ناجي,Naaji
نبيل,Nabeel
نبيل,Nabil
نبيلة,Nabila
ندى,Nada 1
نديم,Nadeem
نادر,Nader
ناديّة,Nadia 2
نديم,Nadim
نادر,Nadir
نادرة,Nadira
ناديّة,Nadiyya
نضرة,Nadra
ناديّة,Nadya 2
نعيم,Naeem
نعيمة,Naeema
نفيسة,Nafisa
نجيّ,Nagi
نجيب,Nagib
نهلة,Nahla
نايف,Naif
نائل,Nail
نائلة,Naila
نعيم,Na'im
نعيم,Naim
نعيمة,Na'ima
نعيمة,Naïma
نعيمة,Naima
نجيب,Najeeb
نجيّ,Naji
نجيب,Najib
نجيب الله,Najibullah
نجلاء,Najla
نجم,Najm
نجمة,Najma
نجوى,Najoua
نجوى,Najwa
نقي,Naqi
نسيم,Naseem
نصير,Naseer
ناصر,Naser
نشوى,Nashwa
نسيب,Nasib
نسيم,Nasim
نسيمة,Nasima
ناصر,Nasir
ناصرة,Nasira
نصر,Nasr
ناصر,Nasser
نسيم,Nassim
نويد,Naveed
نويد,Navid
نوال,Nawal
نورة,Nawra
نايف,Nayef
نذير,Nazeer
نزيه,Nazih
نزيهة,Naziha
ناظم,Nazim
نذير,Nazir 1
نظير,Nazir 2
نظيرة,Nazira
نرمين,Nermin
نسرين,Nesrine
نداع,Nida
نهال,Nihal 1
نعمة,Nima 1
نعمات,Nimat
نشاط,Nishat
نزار,Nizar
نهى,Noha
نور,Noor 1
نورة,Noora 2
نورة,Nora 2
نورة,Norah 2
نور,Nour
نورة,Noura
نور الدين,Noureddine
نوح,Nuh
نهى,Nuha 1
نور,Nur
نورة,Nura
نور الدين,Nur ad-Din
نوري,Nuri
نور الدين,Nuruddin
نور ال,Nurul
نور الله,Nurullah
عمر,Omar 1
عمران,Omran
أسامة,Osama
عثمان,Othman
عثمان,Othmane
وليد,Oualid
أمّ,Oum
قادر,Qadir
قمر,Qamar
قاسم,Qasim
قيس,Qays
قسمة,Qismat
قصي,Qusay
رابعة,Raabi'a
رعد,Raad
رباب,Rabab
ربيع,Rabi 1
رابعة,Rabi'a
رابعة,Rabia
رشيد,Rachid
رشيدة,Rachida
رعد,Ra'd
رائد,Raed
رفيق,Rafiq
رفيقة,Rafiqa
راحة,Rahat
رحيم,Raheem
رحيم,Rahim
رحيمة,Rahima
رحمة,Rahma
رحمٰن,Rahman
رحمة الله,Rahmatullah
رائد,Raid
رئيس,Rais
رئيسة,Raisa 3
رجاء,Raja 1
رجب,Rajab
رجية,Rajiya
رجية,Rajya
رمضان,Ramadan
رامي,Rami
رامز,Ramiz
رملة,Ramla
رملة,Ramlah
رامي,Ramy
رنا,Rana 1
رندة,Randa
رانية,Rania
رانية,Raniya
رانية,Ranya
رشا,Rasha
رشاد,Rashad
راشد,Rashed
رشيد,Rasheed
رشيد,Rashid
رشيدة,Rashida
راسم,Rasim
راسمة,Rasima
رسول,Rasool
رسول,Rasul
رؤوف,Rauf
روضة,Rawda
راوية,Rawiya
راوية,Rawya
ريّان,Rayan
ريحانة,Rayhana
ريّان,Rayyan
رضا,Reda
ريم,Reem
رحاب,Rehab
رهام,Reham
رياض,Riad
رياض,Riaz
رضا,Rida
رضا,Ridha
رضوان,Ridwan
رضوانة,Ridwana
رفعت,Rifat
رحاب,Rihab
رهام,Riham
ريحانة,Rihanna
ريم,Rim
رضوان,Rizwan
رضوانة,Rizwana
ربى,Ruba
رباب,Rubab
روح,Ruh
رقيّة,Ruqayya
رقيّة,Ruqayyah
رشد,Rushd
رشدى,Rushda
رسل,Rusul
رواء,Ruwa
رؤية,Ruya
سعد,Sa'ad
سعد,Saad
سعادة,Saada
صباح,Sabah
صباح الدين,Sabah ad-Din
صبريّ,Sabri
صبريّة,Sabriyya
سعد,Sa'd
صدف,Sadaf
صدّام,Saddam
سعدي,Sa'di
سعدي,Sadi
سعدية,Sa'dia
سعدية,Sadia
صادق,Sadiq
سعيد,Saeed
صفا,Safa
صفا,Safaa
صفاء,Safaa'
صفيّ,Safi
صفيّة,Safia
صفيّة,Safiya
صفيّة,Safiyya
صفيّة,Safiyyah
سحر,Sahar
سعيد,Sa'id
سعيد,Said
سعيدة,Sa'ida
سعيدة,Saida
سيف,Saif
سيف الدين,Saif al-Din
سيف ال,Saiful
سيف الله,Saifullah
ساجد,Sajid
سجّاد,Sajjad
صخر,Sakhr
سكينة,Sakina
صلاح,Salah 1
صلاح الدين,Salah ad-Din
صلاح الدين,Salah al-Din
صلاح الدين,Salaheddine
سلامة,Salama
سليم,Saleem
صالح,Saleh
سالم,Salem 1
صالحة,Salha
صالح,Salih
صالحة,Saliha
سليل,Salil
سليم,Salim
سليمة,Salima
سلمى,Salma
سلمان,Salman
سلوى,Salwa
سماء,Sama
سماء,Samaa
صمد,Samad
سمر,Samar 1
سمير,Sameer 1
سميرة,Sameera 1
سامح,Sameh
سامي,Sami 2
سميع,Sami 3
سامية,Samia 1
سامح,Samih
ثمينة,Samina
سمير,Samir 1
سميرة,Samira 1
سامية,Samiya
سمراء,Samra
سناء,Sana
سناء,Sanaa
سنيّ,Sani 1
سنيّة,Saniyya
سنيّة,Sanya 1
سارة,Sara
سارة,Sarah
سعود,Saud
سودة,Sawda
سوسن,Sawsan
سيّد,Sayed
سيف الدين,Sayf ad-Din
سيف الله,Sayfullah
سيّد,Sayyid
سيّدة,Sayyida
سليمة,Selima
شعبان,Shaban
شادي,Shadi 1
شادية,Shadiya
شادية,Shadya
شفقة,Shafaqat
شفيق,Shafiq
شفيقة,Shafiqa
شهد,Shahd
شاهد,Shahed
شاهد,Shahid 1
شهيد,Shahid 2
شاهدة,Shahida
شاهين,Shahin
شهيرة,Shahira
شهناز,Shahnaz
شهرزاد,Shahrazad
شهرزاد,Shahrizad
شهزاد,Shahzad
شيماء,Shaima
شيماء,Shaimaa
شكيل,Shakeel
شكيل,Shakil
شكيلة,Shakila
شاكر,Shakir
شاكرة,Shakira
شكور,Shakur
شكورة,Shakura
شاميل,Shamil
شمس,Shams
شمس الدين,Shams ad-Din
شمس الدين,Shams al-Din
شمس الدين,Shamsuddin
شريف,Shareef
شريعة,Sharia
شريعة,Shariah
شريف,Sharif
شريفة,Sharifa
شريفة,Sharifah
شوكت,Shawkat
شيماء,Shayma
شذيّ,Shazi
شريف,Sherif
شهاب,Shihab
شيماء,Shimaa
شكريّ,Shukri
شكريّة,Shukriya
شكريّة,Shukriyya
شعلة,Shula
صدّيق,Siddiq
صدّيقة,Siddiqa
سنان,Sinan
سميّة,Somaya
سعاد,Souad
سعاد,Su'ad
سعاد,Suad
سبحان,Subhan
سها,Suha
سهيل,Suhail
سهيلة,Suhaila
سهيل,Suhayl
سليمان,Sulaiman
سليمان,Sulayman
سلطان,Sultan
سلطانة,Sultana
سميّة,Sumaya
سميّة,Sumayya
ثريّا,Suraya
ثريّا,Surayya
سعود,Su'ud
تبسّم,Tabassum
طٰهٰ,Taha
طاهر,Taher
طاهر,Tahir
طاهرة,Tahira
تحميد,Tahmid
تاج,Taj
طلعت,Talaat
طلعت,Tal'at
طلعت,Talat
طلحة,Talha
طالب,Talib
طالبة,Taliba
تامر,Tamer
تمد,Tamid
تامر,Tamir 2
طارق,Tarek
طارق,Tareq
طارق,Tarik
طارق,Tariq
تسنيم,Tasnim
توفيق,Tawfiq
طيّب,Tayeb
طيّب,Tayyib
طيّبة,Tayyiba
ثمينة,Thamina
ثامر,Thamir
ثناء,Thana
ثريّا,Thuraya
ثريّا,Thurayya
توفيق,Toufik
طوبى,Tuba
طفيل,Tufayl
عمر,Umar
أمّ,Umm
أمّ كلثوم,Umm Kulthum
عمران,Umran
أسامة,Usama
عثمان,Uthman
عظمى,Uzma
ودود,Wadud
وائل,Wael
وفاء,Wafa
وفاء,Wafaa
وفائي,Wafai
وفي,Wafi
وفيّة,Wafiya
وحيد,Waheed
وحيدة,Waheeda
وحيد,Wahid
وحيدة,Wahida
وائل,Wail
وليد,Waleed
وليد,Walid
وقار,Waqar
وردة,Warda
وردة,Wardah
واسع,Wasi
وسيم,Wasim
وسيم,Wassim
وداد,Wedad
وسام,Wesam
وداد,Widad
وسام,Wisam
يعقوب,Yacoub
يحيى,Yahya
يعقوب,Yakub
يمينة,Yamina
يعقوب,Yaqoob
يعقوب,Yaqub
يارا,Yara 1
ياسر,Yaser
ياسين,Yasin
ياسر,Yasir
ياسمين,Yasmeen
ياسمين,Yasmin
ياسمينة,Yasmina
ياسمين,Yasmine
ياسر,Yasser
ياسين,Yassine
يوسف,Youcef
يونس,Younes
يونس,Younis
يوسف,Yousef
يسرى,Yousra
يوسف,Youssef
يوحنّا,Yuhanna
يونس,Yunus
يوسف,Yusef
يوشع,Yusha
يسرى,Yusra
يوسف,Yusuf
زاهر,Zaahir 1
ظاهر,Zaahir 2
زاهرة,Zaahira
ظفر,Zafar
ظهير,Zaheer
ظاهر,Zaher
زاهي,Zahi
زاهية,Zahia
زاهد,Zahid
زاهدة,Zahida
ظهير,Zahir
ظهيرة,Zahira
زهراء,Zahra 1
زهرة,Zahra 2
زهرة,Zahrah
زيد,Zaid
زيدة,Zaida
زين,Zain
زينة,Zaina
زينب,Zainab
زين الدين,Zainuddin
زكريّا,Zakaria
زكريّا,Zakariya
زكريّا,Zakariyya
زكيّ,Zaki
زكيّة,Zakiah
زكيّة,Zakiya
زكيّة,Zakiyya
زمان,Zaman
ضمير,Zamir
ظريفة,Zarifa
زوار,Zawar
زيد,Zayd
زين,Zayn
زينة,Zayna
زينب,Zaynab
زين الدين,Zayn ad-Din
زينة,Zeina
ضياء,Zia
زياد,Ziad
ضياء الدين,Ziauddin
زينب,Zineb
زين الدين,Zinedine
ضياء,Ziya
ضياء الدين,Ziya ad-Din
ضياء الدين,Ziya al-Din
زياد,Ziyad
ضياء الرحمٰن,Ziya ur-Rahman
زهرة,Zohra
زبيدة,Zoubida
زبيدة,Zubaida
زبير,Zubair
زهير,Zuhair
زهرة,Zuhra 2
زليخا,Zulaykha
زليخا,Zulekha
ذو الفقار,Zulfaqar
ذو الفقار,Zulfikar
ذو الفقار,Zulfiqar
