arabic,english
موتوفريكا,Muteferrika
يونلور,Yonlüer
الور,Alor
فولتون,Volton
بافلوفيتش,Pavlovitch
لانديرو,Landero
فالنشيا,Valencia
كوداتشي,Kodachi
نوجامي,Nogami
ماشيت,Macit
كوماك,Kossamak
جبيل,Jbail
كلوتو,Kloto
فوداكوم,Vodacom
باباديمتروبولوس,Papadimitropoulos
هورسشاك,Horshack
كلوتز,Klotz
روسامامبو,Rusamambo
كافالانتي,Cavalcante
مالدونيا,Maldonia
كروبسكايا,Krupskaya
ساتسوكي,Satsumi
يوجيمبو,Yojimbo
كونوار,Kunwar
تيريزا,Teresa
كافالكانتي,Cavalcanti
رودبار,Roudbar
هاكيزيمانا,Hakizimana
سيمونيك,Simunek
بوميرانيا,Pomerania
بودينغ,Baoding
سوزيك,Susic
كالين,Kahlen
بادار,Bakar
ديروزير,Derozier
سافارانوف,Savaranoff
هايابوسا,Hayabusa
جستفورككس,Justforkix
جانيسا,Janessa
رويجبر,Ruijper
كالر,Kahler
بومبيليو,Pompilio
بنيوف,Benioff
كاميخو,Camejo
بيوكانان,Buchanan
استيتي,Astete
نجيريني,Njiraini
كورينا,Corinna
فيليس,Phyliss
تيليت,Tillett
بيكمان,Beakman
ساراياكو,Sarayacu
بوندروسا,Ponderosa
فوفا,Foofa
كوزكو,Cuzco
ساريازدي,Saryazdi
غامباغا,Gambaga
فاكتس,Facts
غريبنكو,Grybenko
ديجينريس,Degeneres
غليلي,Glèlè
كمال,Keemal
ستارك,Starcke
كابتان,Captan
رينالدي,Renaidi
ماكسويني,Macsweeny
دانيش,Danesh
برينسيسترات,Prinsestraat
كيمات,Keemat
سافرونكوف,Safronkov
كايدا,Kaieda
لوري,Lurie
تراتنر,Trattner
ليفورتيفو,Lefortovo
لانا,Lana
بيردزورث,Birdsworth
فرنادو,Varnado
كياران,Ciaran
مولهيمس,Mulheims
فيشنيفسكي,Vishnevsky
رينولو,Refolo
كونوبكو,Konopko
دادو,Daddo
مازيرا,Mazeyra
دراغانوف,Draganov
رانيل,Ranil
اسمان,Assmann
ديافانغا,Diyavanga
اغادير,Agadir
زوردان,Zordon
رانيا,Rania
بيلوا,Buyelwa
هيركليون,Heracleion
كونيجيرو,Kunijiro
ويمبي,Wimbi
زييت,Zett
خيطان,Kheitan
فالفيرت,Valvert
كشيكاغو,Chicago
ايدو,Aidoo
بارهام,Parham
يـوهـانسون,Johansson
اطالانطا,Atalanta
ريفس,Reevis
يولاو,Yulaw
كيغوبي,Kigobe
ثيو,Theo
غورانسون,Goransson
ثيل,Thel
ديليتا,Dilleyta
تستيفان,Tostevin
ثيا,Thea
ويريبا,Wirepa
مايرور,Myror
لاكشمي,Lakshmi
فوسكو,Fusco
ثيت,Thet
دوثان,Dothan
يوكوهاما,Yokohama
جوثام,Jotham
ايرفلو,Airflo
تيسفا,Tesfa
ليسيسيوس,Lyciscus
بوجا,Pooja
تاريمو,Tarimo
كوريارس,Couriers
تيسفو,Tesfu
فولغانس,Fulgence
بيورنسين,Bijornsen
لانفن,Lanvin
كودور,Kodor
كودوس,Kodos
كاريس,Karris
ورتزنر,Wertzner
دانييل,Daniël
هينكاشو,Henkashu
ميتشي,Mitchie
غيدا,Gyda
هيمنغتون,Hemmington
بوبس,Bobas
بغناتيلي,Pignatelli
اغيمانغ,Agyemang
جاكوبسون,Jacobson
بوبان,Boban
داريا,Darya
بوديبلات,Puddeplatt
فيزكاروندو,Vizcarrondo
دارين,Daryn
ويلتورد,Wiltord
داريل,Daryl
ماتلاك,Matlack
تايو,Taiyo
بوتوو,Boutuo
رزفي,Rizvi
بازيفامو,Bazivamo
ماريفي,Marivi
يشيمارو,Ishimaru
فروش,Froash
ماكليش,Macleish
توغولو,Togolo
بيلران,Pellerin
بيلاييكس,Pelaex
بيلاييز,Pelaez
جيانكانا,Giancana
كيسينجر,Kessinger
هوانغ,Hoang
كريل,Crill
ماتينيون,Matignon
بيرجن,Bergin
هواني,Hoani
بلاث,Plath
كاويشي,Kawaishi
هوبنر,Hubner
ارتويس,Arthuis
سيبي,Sippi
لوبيندا,Lubinda
جابر,Jabr
جابو,Jabu
كايلامي,Kyalami
اندوفر,Andover
دانس,Dances
تنغافوكا,Tongfuka
جابو,Jabo
سنكوفا,Sankofa
سينتوري,Senatori
كروات,Croat
هاجروث,Haggroth
سافاريكوم,Safaricom
ساريفا,Saraiva
لانديفار,Landivar
زاردوز,Zardoz
رانجيلا,Rangila
اندرسون,Anderson
دادانغ,Dadang
مجيكانوس,Mejicanos
نيمو,Nimmo
غوالانداناي,Gualandanay
هينكل,Heinkel
زيفا,Ziva
فانبيرن,Vanburen
اجريستو,Agresto
فينكاتاساومي,Venkatasawmy
سبايث,Spaeth
سانبرج,Sanbridge
هوليسات,Hulissat
اغريستا,Agresta
ريسوار,Ressoar
جباك,Jpac
لوتيتو,Lotito
شيهان,Shihan
انتيفيرت,Antivert
فيلاسيس,Villacis
غيغمي,Gigme
شهاب,Shihab
بوسيا,Busia
سانجو,Sanjo
سانجي,Sanji
فيديلا,Fadela
كوتاش,Kotosh
بيوسك,Busik
سانيا,Sanja
ليبير,Lepper
بيتمان,Pittman
سانجو,Sanju
كوتسيتكوف,Kocetkov
لاريسا,Larissa
سيغمان,Siegman
شوارتز,Schwartz
جافنا,Javna
بالكو,Balko
بالكي,Balki
كلارنس,Clarens
بودمان,Boodman
سيركان,Serkan
ميتوغو,Methogo
مونتاني,Montagne
جوزفين,Josephin
ادالجيرسون,Adalgeirsson
زودا,Zoda
زوود,Zodd
سيليزيا,Silesia
نازليكان,Nazlican
تشانغيز,Tchanguiz
امبينو,Ambeno
بالميسون,Palmason
اسويل,Asael
دونوفان,Donovan
ديفيتو,Devito
روديك,Rudyk
فيسكون,Viscon
كلوستر,Kloster
شربور,Shirpur
موساغا,Musaga
كاغلار,Caglar
كيندرا,Quendra
كريسكو,Chrisko
سلوتكن,Slotkin
ليسونبو,Lisumbu
هاجما,Hama
بايكس,Pikes
شابير,Shabeer
بيريدج,Berridge
سبيلمان,Spielman
رنتانار,Rentanaar
بروكنغس,Brookings
كانكوزو,Cankuzo
شهرزاد,Shahrzad
غيكيزي,Gikizi
سافولاينين,Savolainen
سوكتون,Sockton
هوتري,Hawtrey
ميرنغ,Mearing
كالي,Cale
زونغواي,Zonghuai
جوني,Johny
كليتي,Klytie
دوتشي,Dutchie
غريتشيتش,Grčić
لازلازو,Lazzo
ديكيسي,Dekese
مازيمباكا,Mazimpaka
غريتشيتش,Grčič
فينجولد,Feingold
دوزرمان,Dozerman
تهاري,Tahari
ايولا,Ayoola
بلودفيست,Bludvist
شوماخر,Schumaker
بوتيرسكي,Butyrskii
سيمور,Seymour
هيلنسكي,Helinsky
دتفيلد,Dutfield
داهيندن,Dahinden
هارلي,Harlee
دورزيات,Dorziat
يوتاكا,Yutaka
فرمان,Faraman
غيوكا,Giuca
مكلاو,Mclaw
دوندر,Donder
ساولوس,Saulus
بيبوكوبوكو,Bibokoboko
غولبهار,Golbahar
مكلاي,Mclay
روزيشكا,Ruzicka
برينجسلي,Bringsley
هال,Hal
واوسكار,Oscar
شليمير,Schlemmer
نياميرامبو,Nyamirambo
اكرومنتولا,Acromantula
بيريز,Perrez
كورتيز,Cortez
فيتاليس,Vitalis
راغب,Ragheb
يفغيني,Evgeny
وولسين,Olsen
بيريت,Perret
فالاكفلاكي,Falakaflaki
فيتاليي,Vitaliy
اندولو,Andulo
سافران,Savran
ستور,Setur
كلوديوس,Claudius
شامسول,Shamsul
بارتنشتاين,Bartenstein
سيدوالييف,Seidualiyev
كيوكوي,Kayokwe
روماني,Romany
بونديتكول,Bunditkul
كونترولبنك,Kontrollbank
بريندي,Brende
زولوفين,Zolufen
غودسدي,Godsday
بوكاتيرا,Pocaterra
ساديكي,Sadiki
فونغ,Fong
انطون,Antawn
كوراكاوا,Kurokawa
سويديش,Swedish
لانغستول,Langstughl
فاريغ,Varig
بريتيلا,Pritella
فافونه,Fafonah
روسيكا,Rosika
ساغيكاوا,Sagikawa
كابيروكا,Kaberuka
فيرنالداباندوراتا,Fernaldiapandurata
ديماركو,Demarco
ييانا,Ileana
لاسوردا,Lasorda
ميلهوف,Melhoff
سنغري,Sangre
برتايا,Pertaia
غوروجي,Guruji
لويزمي,Luismi
ميدوريكاوا,Midorikawa
كالي,Cally
ستيوي,Stewie
اخناتون,Akhenaten
مويامبا,Moyamba
كالي,Calle
هيرن,Herrin
نغوا,Ngua
هيبرت,Hiebert
نغوم,Ngum
هوسيلتون,Hoselton
بورورو,Bororo
فريدريكا,Fredericka
هوكا,Hukka
رينيسيتو,Renesito
فيكتوركمب,Vectorcomp
رانبير,Ranbir
فريدريكس,Fredericks
غاليغو,Galego
تارقاريان,Targaryen
مورينتي,Muriente
خوروشكوفسكي,Khoroshkovsky
كانويل,Kanyol
دايسون,Dyson
مالامبالي,Mallampally
فالديز,Valdez
سيتكا,Sitka
فاركس,Farkus
ماريندا,Marinda
فالديس,Valdes
ريمبو,Rimbeau
تورخان,Torkhan
بوبا,Puba
خورام,Khorram
بامانغا,Bamanga
هوماتوف,Hummatov
غوستن,Guston
ستراشان,Strachan
موينزي,Mwenze
تيفي,Tevye
فيغودا,Vigoda
روثي,Ruthie
موسومبوا,Musombwa
كونسباي,Canisbay
ديفاو,Defao
سكلار,Sclar
تارنوسكي,Tarnowsky
بيتالنغ,Petaling
كاتابولا,Catabola
كينيس,Kinis
غاثرد,Getheard
بينسونهارست,Bensonhurst
كروستوفسكي,Krustofsky
بيترويسلي,Petrocelli
جايج,Jayj
امينوتيب,Amenhotep
يارن,Yaren
جايا,Jaya
جايد,Jayd
غويدي,Guedi
ماليكا,Mallaika
ميرون,Meron
كوروود,Kurwood
جايو,Jayu
ميروب,Merob
تروبي,Truby
لاتيري,Latierri
الالوف,Alaluf
لادار,Ladar
لوجانو,Lougano
فاريان,Varian
نرماغمبيتوف,Nurmagambetov
تاليو,Taleo
فوكودا,Fukuda
كاستينادا,Castenada
كايلا,Kaila
مايفليت,Mayfleet
بيليزوني,Bellizone
كايلو,Kailo
باسادينا,Pasadena
بينيهانا,Benihana
كولوتوشا,Kolotusha
دوغارد,Duggard
نوتلي,Notley
ريوكورب,Ryocorp
شارني,Sharni
ميلبورني,Melbourne
رازانين,Rasanen
فيلوفاكس,Filofax
انزوراس,Anzures
لوبيلمان,Lobelman
سوكودي,Sokode
زلوتنيك,Zlotnik
فيلمتر,Phelpmitter
والوزاني,Wazzani
دراغوناتي,Dragonetti
اجراخ,Agarakh
ماغوان,Magowan
محمدين,Mohamedain
كابالو,Kabalo
كابالي,Kabali
نازري,Nazri
فيرديل,Verdell
كابالي,Kabale
ثانالينغ,Thanaleng
كابالا,Kabala
لافيدرا,Lavedra
كارولي,Cairoli
هولبي,Holby
كراوثر,Crowther
ليبيك,Lebeck
كاسولي,Kasauli
سبيكتور,Spektor
جاسمير,Jasmer
كامالاتا,Kamalata
كاحالون,Kahalon
رمسيس,Ramsis
ميلين,Meilin
معليا,Meilia
واوفيليا,Ofelia
ماسكول,Mascoll
ماسكولي,Mascoli
بوريما,Burima
موتشيس,Mochis
ليفيتاون,Levittown
دريندكس,Drandix
تريت,Trett
دورسكي,Dworsky
ساهان,Sahan
ساهال,Sahal
ساهاك,Sahak
سهاي,Sahai
ماتياسيفيتش,Matijasević
كاترينا,Katrina
سهار,Sahar
ساهاس,Sahas
بابيولياس,Papulias
سهاي,Sahay
لوبو,Lubu
سيربيني,Serbini
شيندي,Shende
سيلفيو,Silvio
ديوي,Dewe
داوي,Dewi
سيلفيا,Silvia
سيلفي,Silvie
سكايهل,Scahill
كوميلياهوي,Cumillahue
مونيما,Munema
سيلفيو,Silviu
بانداراناياكي,Bandaranayake
باساك,Bassac
تلالتيسابان,Tlaltizapan
هومولكا,Homoika
لارابي,Larabee
راهيل,Rahael
جاوزجان,Jawzjan
باساس,Bassas
كاليو,Kaliwo
كاناريك,Kanarick
كارمن,Carmen
تولومانوسكا,Tolomanoska
اوكوسو,Aukuso
مك,Mc
موغابونتيرا,Mugabonthera
سوبورن,Suporn
توبينو,Tubino
ناراياما,Narayama
كروسلي,Crosley
كابوسفار,Kaposvar
كانيفل,Canivell
ديسالفو,Desalvo
جالانغو,Jalango
باتشيكو,Patcheco
هيديمي,Hidemi
جالنغا,Jalanga
ثيري,Thierry
مانيكبور,Manekpur
كيوزاك,Cusack
زامبالـس,Zambales
مـالولوس,Malolos
بوزيدار,Bozidar
فلاكو,Flaco
جاردين,Jardin
دايدالوس,Daidalos
هيلدمان,Heldman
بيري,Piery
هاسان,Hassan
هتاي,Htay
تانجين,Tangyin
دهيرنيا,Dherynia
ميدراند,Midrand
ديفيدسون,Davidson
ريبولد,Raybold
مـوريـسكا,Morisca
مونسون,Munson
كريبا,Crippa
تارجانيانسكي,Targinyanski
بورستينغ,Borsting
بينسك,Pinsk
كريبس,Cripps
راندادو,Rondado
بولتون,Poulton
هينلي,Henley
برايدن,Braeden
دونتوس,Dontos
غاجان,Gagan
مكولوغ,Mccullogh
روبيرتو,Ruperto
ميكويان,Mikoyan
هيرشي,Hershey
موبيس,Maubisse
موستين,Mostyn
زاخيا,Zakhia
هيرشل,Hershel
ابرامويتز,Abramovicz
ثونجكون,Thongkon
اماندول,Amandul
ديلينس,Dillings
ارسيفين,Arseven
بيجار,Bijar
لانسيا,Lansia
فيراه,Farrah
ميريديث,Meridith
تيخوف,Tekhov
بيجان,Bijan
داينا,Dayna
شيغي,Shige
داين,Dayne
مكروفس,Makarovs
مانتا,Mantha
ريباك,Ryback
اجنيهوتري,Agnihotri
ميبيس,Mebes
كومبراسنيت,Comprasnet
ميغان,Megan
ريماك,Rimac
بويتو,Pueto
اريزي,Arize
مانسي,Muncy
ميتسوندا,Mittsunda
نورياكي,Noriaki
ماريانو,Marianao
كالانا,Kallana
زوكر,Zucker
هرتاتي,Hartati
واكازي,Wakaze
مارياناس,Marianas
ديثوا,Dethoua
هورلوز,Hurloz
هارمون,Harmon
مامون,Mamoun
مامبيسو,Mambesu
غيميل,Gemell
محمود,Mamoud
شافتر,Schefter
سلوباكين,Slobodin
ناباليتانو,Napalitano
شيفتيل,Scheftel
بارو,Baro
كاكو,Kauko
هانيجان,Hannigan
كاسيدو,Caicedo
بايا,Paya
ميروفا,Morva
مامور,Mamour
دورير,Dürer
لوينتسي,Lhuentse
كانتويل,Cantwell
واتسون,Watson
مهندالي,Mehendale
زهاف,Zahav
سامتر,Sumnter
كرومويل,Cromwell
ليوديان,Liudian
ماسلين,Masslin
غويولو,Goyolo
نيدهي,Nidhi
فايت,Veit
دوكس,Docks
جيـم,Jim
مونياكازي,Munyakazi
ويليفورد,Willeford
دمتراكوبولوس,Demetracopoulos
تزانتشيف,Tzantchev
دانردج,Dunridge
زاخيوس,Zakheos
اريغو,Arrigo
يعقوب,Yaqob
سوانسن,Swatson
موينيهان,Moynahan
ميروين,Merwin
روديغر,Rudiger
ماجيار,Magyar
غوردن,Gordon
نورنبرغ,Nurenberg
مالكومسون,Malcomson
ادمسون,Adson
بينز,Beenz
مورنسي,Morency
روزناو,Rosenow
نوانثاسينغ,Nuanthasing
عبدالسلام,Abdeslam
بيرناديت,Bernadette
بوبنيك,Bubenik
ترانسدنستر,Transdneister
براندو,Prando
روزلين,Roslyn
راندادو,Randado
ماريتيم,Maritim
يوشياكي,Yoshiaki
نيندوريرا,Nindorera
سومستاد,Sommestad
بيرينستورف,Bernstorff
هاينام,Haynam
مويرتو,Muerto
مويرتا,Muerta
مورتي,Muerte
تابليجونغ,Taplejung
ديبوراه,Deborah
كرمسييك,Krumsiek
برندون,Brendon
سولارتي,Solarte
غيرنغ,Gering
بيسيك,Beesik
كوسانو,Cosano
رمسكن,Rumsin
برنداو,Brendow
فارديفانيان,Vardevanyan
دالماثيو,Dalmacio
بوفير,Bouvier
هارمانوفسكي,Harmanovsky
ايرالدي,Airaldi
ميدورا,Midora
نياسا,Niassa
تاشباييف,Tashbaev
نياس,Niasse
ميدوري,Midori
مونسون,Monzon
كيلتي,Keltie
بيتناك,Pitnak
مورافا,Morava
غيرمان,German
كليريت,Clarette
امامو,Amamou
كيبلر,Kepler
نجراب,Nijrab
فلورينتينو,Florentino
كيبلي,Kepley
تاوليليسوماي,Taulealeausumai
نوبيندو,Nobendu
بنيريا,Beneria
لافيل,Lafell
تشينغالي,Tshinvali
شيمشوتشينكو,Shemshuchenko
بيكسلي,Pixley
مورتالا,Murtala
كومبلاسا,Kompasla
بالوس,Palos
بالو,Palou
فليمنجتاون,Flemingtown
تينانتس,Tenants
سيرنيلا,Serenella
بارباي,Barbay
ستوكي,Stuckey
بالون,Palon
بودين,Bodden
ابادابا,Abadaba
مورانلي,Moranelli
ويلانسكي,Wilansky
بليسينجتون,Blessington
جوردان,Jourdan
بوربا,Borba
تيفنان,Tivnan
غرينيوس,Grinius
سيلاس,Silus
نيرو,Nero
بوربي,Borby
فونمي,Funmi
لقيف,Laqif
ويلانسكي,Wilanski
سيلفين,Silvain
جورغ,Jürg
سيناراث,Senarath
زيداري,Zaidari
غرامين,Gramin
كيان,Cian
كادمون,Kadmon
كادخودا,Kadkhoda
غايفر,Gyver
تيليفيزا,Televisa
ليبيدكو,Lebedko
دويدرو,Dodero
فانيم,Vanem
فيزيت,Phisit
زوبليانين,Zupljanin
امكاسارا,Amkassara
ديوينتر,Dewinter
وارينغ,Waring
سادون,Saddon
دوبرتشاني,Dobrecani
ياكوبو,Yakubu
مارجونيلي,Margonelli
كيماي,Kimye
بروزنيك,Brosnek
دنيستر,Dniester
كيميا,Kimya
جانوتي,Jannotti
زوي,Zoe
ماير,Mayer
غيبني,Gibney
تاننبام,Tannenbaum
سمبولا,Sumbula
ماكسم,Maksim
درمان,Darman
بفانزلتر,Pfanzelter
فرهادي,Farhadi
غريميو,Gremio
ماكسفيلد,Maxfield
كاباييرو,Caballero
خانجارجا,Khanjarja
ماريرو,Marrerro
غنيلاني,Gnjilanje
كيثريا,Kythrea
سايلام,Saylam
لومي,Lome
فارانغرفيورد,Varangerfjord
جاسكو,Jasko
تريمانا,Trimana
فيري,Viri
فيرك,Virk
مينانغكابو,Minangkabau
فافونيا,Vavuniya
فيرغ,Virg
سيبلي,Sibley
غازيزاده,Ghazizadeh
باوديت,Baudette
ساجاسي,Sagassi
انتارتيكا,Antartica
داليوس,Dalius
دافتار,Dafter
سكراجس,Scruggs
بليس,Pless
كالوموناي,Kalumunai
هورميسداس,Hormisdas
تودسكي,Tudeski
اديس,Adis
ساموي,Samwi
دافمار,Davmar
بوتيغوارا,Potiguara
فايزولايف,Fayzulaev
بونيوكس,Bonnieux
اديا,Adia
اديب,Adib
اديك,Adic
كينياتا,Kenyatta
ترينزالور,Trenzalor
اديك,Adik
اديل,Adil
كوراد,Qward
الفيري,Alfieri
جانجناتي,Janajati
ريستويل,Restwell
بانجاكينت,Panjakent
كونتي,Knotti
غوبالاسوامي,Gopalaswamy
جوليتا,Julieta
نوفل,Nawfal
فيليكي,Feleke
كالينتي,Caliente
كونتس,Knotts
تيرمان,Tirman
واتشس,Wachs
فليبرس,Flippers
وينيك,Winnik
ويني,Winnie
نوردلاند,Nordland
نوردهاوس,Nordhaus
ريدل,Riedel
ريكو,Ryko
بوتكيت,Pawtucket
ميوتشو,Meuccio
سانتانا,Santana
يامس,Eames
باريو,Barao
سانتاني,Santani
واوسبيرت,Osbert
جويل,Jowell
رينجو,Ringo
سابولارزي,Sabularse
بورغياس,Borgias
برغوتي,Barghouti
برغوث,Barghouth
مينيتاس,Minitas
تيليماشيوس,Telemachus
رالي,Raley
هايدر,Hyder
ورمتر,Wermter
فريندزار,Friendczar
لايبول,Lybol
هيدين,Hyden
هاوالا,Hawala
شيكارو,Shekarau
ليناه,Linah
بريتي,Priti
رحمان,Rahman
واكتر,Wachter
ميسترا,Mistra
تيتس,Teets
توازي,Twazzi
بونتيري,Bonteri
فيكاس,Fickas
ليناس,Linas
موشانغا,Mushanga
بايدا,Paidha
جاسم,Jassem
ميرانه,Meraneh
دوبوس,Dubos
اكريس,Acris
موسكين,Moskin
بيرتري,Pertree
دوباف,Dubov
شرودر,Schroeder
ديلوكا,Deluca
دوبون,Dubon
بودي,Bodey
ستستعيدين,Ststaidyn
كونيا,Konya
كبولسكي,Kapulsky
كونيي,Konye
فولسكي,Volsky
الكانتارا,Alcantara
فيربانكس,Fairbanks
لوشينين,Loshchinin
براندوك,Bradock
ستريت,Stritt
وايتلي,Whiteley
كيتنر,Kettner
زونوفنيتسا,Zunovnica
فولسكي,Volski
غانسو,Gansu
كايوس,Caius
كافاناغ,Kavanagh
ماراجوني,Marangoni
ناروك,Narook
تاكوس,Tacos
وايدمان,Weidmann
تاكون,Tacon
تيمكا,Timka
كورييا,Correia
ماكماستر,Macmaster
سبيث,Speth
فيرهاغن,Verhagen
بروداغ,Brodhag
ووانغاري,Whangarei
كيمورا,Kimura
بدوي,Badawy
شيرمان,Sherman
تيرنبو,Ternbo
غرين,Grenn
فيليسيان,Felician
كاتليدج,Catledge
سيزا,Siza
هنداوي,Hendaoui
بريم,Prem
دينهيردير,Denherder
غانسي,Ganse
رينفيلد,Renfield
بري,Pree
دوفلاند,Dovland
سكاتلي,Scatelli
ليبرا,Libera
بريز,Prez
بريو,Prew
ماسوكا,Masuka
بريس,Pres
زوارب,Zuarob
بوساسو,Bosaso
بيلوسا,Pelusa
هينكي,Hinky
سوبيك,Sobeck
بيلوسو,Peluso
كيكو,Kiko
براشوف,Braşov
توماشاسكي,Tomashevsky
ويكراماناياكي,Wickramanayake
غاسينيي,Gasenyi
خاداكفاسلا,Khadakvasla
امريش,Amrish
وانيتا,Wanita
ارويل,Arwell
سترومان,Stroman
تيستو,Testew
فرايند,Freyend
سترومبوني,Stromboni
هيون,Hion
بوتين,Butin
تابان,Tappan
سانشار,Sanchar
اريوس,Arius
مانوس,Manos
بانكولي,Bankole
ميشان,Mishan
ميشال,Mishal
سيغموند,Sigmund
ماجلان,Magellan
مونتيس,Montes
كريستيان,Kristjan
ناد,Nad
مونتيز,Montez
نال,Nal
ميرلوت,Merlot
جيوهاي,Jiuhai
مياتا,Miata
مونتيل,Montel
دايموني,Daemoni
بيليران,Biliran
بيبينغتون,Bebbington
يامي,Yumi
ديروسا,Derosa
كورنادو,Cornado
غرينبوم,Greenbaum
فرفرين,Varvarin
ياكوما,Yakoma
خانجاراني,Khangharani
تيموجين,Temudgin
غريمشاو,Grimshaw
ناثينغهام,Nothingham
فونتانيا,Fontanilla
اكيرلي,Akerly
ليليان,Lilian
مانوب,Manob
سيشوبا,Sishuba
فوكمان,Folkman
موهاكنيزي,Muhakanizi
ينتشابري,Yentchabre
ديميترييف,Dmitriev
فانكا,Vacca
كيندال,Kindall
سيمولا,Simula
ماهفيير,Mahavir
ايكوت,Aykut
كونتيز,Coontz
دابول,Dabul
سيرجيو,Sergio
غريسكا,Gryska
سيرجس,Sergis
مومتشيلو,Momčilo
ياسوهاما,Yasuhama
دشرناث,Dashrath
ميكانيكس,Mechanicx
كالوتاي,Kalotay
هاكسيياها,Haxhijaha
نافتا,Nafta
